Fecha,open,high,low,close,volume,marketCap
13/10/2021,"1,546,760,555","1,573,703,412","1,475,443,772","1,549,590,533","27904593,55","$245.179.778,12"
14/10/2021,"1,549,553,768","1,591,036,951","1,531,486,051","1,581,907,174","24398871,03","$250.292.991,42"
15/10/2021,"1,582,098,073","1,599,702,333","1,541,307,727","157,499,719","21547382,09","$249.199.677,85"
16/10/2021,"1,574,972,568","1,651,012,004","155,513,372","1,624,863,653","17999114,21","$257.089.664,37"
17/10/2021,"1,624,672,477","1,630,136,236","152,392,313","1,549,109,145","17425736,49","$245.103.611,93"
18/10/2021,"1,549,298,247","1,568,113,473","1,499,028,181","1,524,948,556","17027202,79","$241.280.867,84"
19/10/2021,"1,524,862,045","1,531,601,486","1,482,190,568","1,504,987,009","15815378,81","$238.122.506,06"
20/10/2021,"1,504,281,859","15,677,512","1,476,317,589","1,524,745,875","16386967,24","$241.248.799,25"
21/10/2021,"1,526,299,978","166,906,036","150,265,823","1,561,527,775","28291197,36","$247.068.516,02"
22/10/2021,"1,561,297,483","1,625,821,734","1,522,721,936","1,538,180,368","18620601,6","$243.374.435,57"
23/10/2021,"153,823,372","1,541,448,134","1,507,483,447","1,512,542,507","12025570,97","$239.317.954,37"
24/10/2021,"1,512,663,208","1,539,899,247","1,461,754,795","1,513,723,212","14744054,52","$239.504.768,18"
25/10/2021,"1,513,683,166","1,520,897,524","1,497,125,571","1,506,473,639","13641580,5","$238.357.724,12"
26/10/2021,"1,506,337,334","1,512,288,604","1,474,076,121","1,476,460,335","15468908,57","$233.608.950,01"
27/10/2021,"1,479,878,132","1,486,738,969","13,019,523","1,353,242,914","36434972,23","$214.113.206,26"
28/10/2021,"1,353,446,895","1,412,266,584","131,409,965","1,367,186,394","35640968,72","$216.319.375,78"
29/10/2021,"136,742,265","1,404,574,889","134,304,449","1,375,783,906","19549539,95","$217.679.693,93"
30/10/2021,"137,551,175","1,377,213,021","1,326,892,331","1,333,154,418","15584005,15","$210.934.758,22"
31/10/2021,"1,333,290,118","1,535,083,032","1,331,892,643","1,454,232,065","32196144,22","$230.091.942,10"
01/11/2021,"145,414,792","1,483,375,374","1,424,709,357","1,437,292,289","21079864,7","$227.411.691,73"
02/11/2021,"1,437,570,387","158,146,826","1,425,659,804","1,548,038,822","27513964,62","$244.934.262,89"
03/11/2021,"1,548,703,797","1,659,413,402","1,466,548,616","165,566,674","31978958,18","$261.963.399,64"
04/11/2021,"1,655,004,712","2,301,369,146","1,581,702,085","2,150,156,861","116592862,2","$340.202.763,85"
05/11/2021,"2,147,810,802","2,215,448,709","1,769,412,774","190,294,469","94077718,47","$301.088.285,56"
06/11/2021,"1,902,696,551","1,950,024,802","1,798,293,402","1,907,714,945","38229840,85","$301.843.046,30"
07/11/2021,"1,909,051,801","1,958,059,854","1,852,043,829","1,896,671,937","29566385,35","$300.095.796,15"
08/11/2021,"1,897,112,064","1,973,536,826","1,767,127,922","1,851,909,902","38998410,2","$293.013.444,16"
09/11/2021,"1,844,712,746","1,861,280,365","172,334,467","1,730,046,854","35058105,19","$273.731.992,30"
10/11/2021,"1,730,056,669","184,658,548","1,649,686,482","1,666,709,954","39807587,22","$263.710.682,33"
11/11/2021,"1,666,522,387","1,787,120,743","1,626,044,459","1,703,784,217","33268960,79","$269.576.657,48"
12/11/2021,"1,701,509,001","1,703,077,013","1,615,294,561","1,640,567,321","26192481,27","$259.574.334,81"
13/11/2021,"1,642,497,543","1,668,925,369","1,597,926,548","1,629,501,712","20421579,11","$257.823.508,79"
14/11/2021,"1,629,927,856","1,652,924,072","1,559,460,851","1,630,902,856","21610453,15","$258.045.200,89"
15/11/2021,"1,631,002,165","163,291,924","154,697,294","154,921,981","20565013,84","$245.121.121,55"
